date,ticker,ret,abs_ret,rolling_volatility,threshold,is_extreme
2021-06-16,ORCL,-0.0558549435654691,0.0558549435654691,0.016455102075387574,3.0,True
2021-06-17,AMD,0.0555485821287982,0.0555485821287982,0.0170357540167785,3.0,True
2021-07-23,INTC,-0.0528949535928872,0.0528949535928872,0.01683132781093076,3.0,True
2021-09-28,AMD,-0.061390595360798,0.061390595360798,0.018805750542398053,3.0,True
2021-10-22,INTC,-0.1167856252194695,0.1167856252194695,0.028975282152191834,3.0,True
2021-10-27,MSFT,0.0421141810747116,0.0421141810747116,0.013910727638850038,3.0,True
2021-11-04,NVDA,0.1204224469021986,0.1204224469021986,0.03050498516066745,3.0,True
2021-11-08,AMD,0.1013642929105613,0.1013642929105613,0.027083557183792253,3.0,True
2021-12-10,ORCL,0.1561338417763043,0.1561338417763043,0.03727465259345789,3.0,True
2022-01-27,INTC,-0.0704198712603172,0.0704198712603172,0.022839173736541273,3.0,True
2022-01-28,AAPL,0.0697776694207623,0.0697776694207623,0.02112458552901474,3.0,True
2022-02-03,META,-0.2639009782555185,0.2639009782555185,0.06309369015207573,3.0,True
2022-04-28,META,0.1759359345949618,0.1759359345949618,0.05097911334867993,3.0,True
2022-06-14,ORCL,0.1041373591123078,0.1041373591123078,0.03431246090904337,3.0,True
2022-07-27,MSFT,0.066851912449076,0.066851912449076,0.021738790527011442,3.0,True
2022-07-29,INTC,-0.0856209118330735,0.0856209118330735,0.027540380157379245,3.0,True
2022-09-13,MSFT,-0.0549783939204266,0.0549783939204266,0.018144114830577828,3.0,True
2022-09-14,ORCL,-0.0515517901334592,0.0515517901334592,0.01667994814870861,3.0,True
2022-10-07,AMD,-0.1386882838472165,0.1386882838472165,0.0424646670632021,3.0,True
2022-10-27,META,-0.2455706754507449,0.2455706754507449,0.06146946511147404,3.0,True
2022-10-28,INTC,0.1065854561999037,0.1065854561999037,0.03461423539094939,3.0,True
2022-11-10,AMD,0.1426903089624762,0.1426903089624762,0.0444157592683059,3.0,True
2022-11-10,ASML,0.1457318514529848,0.1457318514529848,0.04838292063144985,3.0,True
2022-11-10,NVDA,0.1432928957416068,0.1432928957416068,0.045226547875220825,3.0,True
2023-02-01,AMD,0.1262807407994732,0.1262807407994732,0.0412864897363418,3.0,True
2023-02-02,META,0.2328241905781172,0.2328241905781172,0.05354056769355186,3.0,True
2023-02-23,NVDA,0.1402138477169914,0.1402138477169914,0.04671896062767265,3.0,True
2023-04-26,MSFT,0.0724347567962329,0.0724347567962329,0.021251677974832194,3.0,True
2023-04-27,META,0.139255032760533,0.139255032760533,0.03363531226523158,3.0,True
2023-05-03,AMD,-0.0922033208527272,0.0922033208527272,0.027481785686986466,3.0,True
2023-05-25,MSFT,0.0384578846247902,0.0384578846247902,0.012235057045741262,3.0,True
2023-05-25,NVDA,0.2436963579512727,0.2436963579512727,0.057557003460332844,3.0,True
2023-05-25,ORCL,0.0607201102444405,0.0607201102444405,0.01798718779254024,3.0,True
2023-08-04,AAPL,-0.0480200489810563,0.0480200489810563,0.013624375498531172,3.0,True
2023-09-12,ORCL,-0.1349538205167311,0.1349538205167311,0.03513632766707594,3.0,True
2023-10-20,ORCL,-0.0599039882143664,0.0599039882143664,0.018196601667399878,3.0,True
2023-10-27,INTC,0.0928660672883714,0.0928660672883714,0.027858338816077858,3.0,True
2023-11-01,AMD,0.0968528011728659,0.0968528011728659,0.03213488142591972,3.0,True
2023-12-07,AMD,0.0988700175700738,0.0988700175700738,0.028186580745269876,3.0,True
2023-12-12,ORCL,-0.1243811346864168,0.1243811346864168,0.029733387358481602,3.0,True
2024-01-08,NVDA,0.0642808235925129,0.0642808235925129,0.02103258527728285,3.0,True
2024-01-24,ASML,0.0885417091146356,0.0885417091146356,0.02725165600941107,3.0,True
2024-01-26,INTC,-0.1190716931412595,0.1190716931412595,0.03181230135475998,3.0,True
2024-02-02,META,0.2031764433199523,0.2031764433199523,0.04609458452995271,3.0,True
2024-02-22,AMD,0.1069450851678974,0.1069450851678974,0.03438249750118766,3.0,True
2024-02-22,NVDA,0.1640087989891254,0.1640087989891254,0.04338554647090756,3.0,True
2024-03-12,ORCL,0.1174976253818116,0.1174976253818116,0.030549730910327564,3.0,True
2024-04-04,AMD,-0.0826464683758501,0.0826464683758501,0.02732104310865882,3.0,True
2024-04-19,NVDA,-0.1000459982015442,0.1000459982015442,0.0312134886188871,3.0,True
2024-04-25,META,-0.1056129020087573,0.1056129020087573,0.029870157795880974,3.0,True
2024-04-26,INTC,-0.0919965286545188,0.0919965286545188,0.030216261875286997,3.0,True
2024-05-30,ORCL,-0.0537417297614646,0.0537417297614646,0.017067193288159643,3.0,True
2024-06-05,ASML,0.0952135102347666,0.0952135102347666,0.02686967921994716,3.0,True
2024-06-11,AAPL,0.0726491255904564,0.0726491255904564,0.01849713933320509,3.0,True
2024-06-12,ORCL,0.1331934775203529,0.1331934775203529,0.033485756497265144,3.0,True
2024-07-05,META,0.0587300948151556,0.0587300948151556,0.01749587211625655,3.0,True
2024-07-08,INTC,0.0615240645253452,0.0615240645253452,0.01672725963286726,3.0,True
2024-07-17,ASML,-0.1274397359086041,0.1274397359086041,0.03416001304300316,3.0,True
2024-08-02,INTC,-0.2605851455985698,0.2605851455985698,0.06401188352755387,3.0,True
2024-09-10,ORCL,0.1143755813125264,0.1143755813125264,0.026591240323465756,3.0,True
2024-10-15,ASML,-0.1626101696068861,0.1626101696068861,0.04367976277211062,3.0,True
2024-10-30,AMD,-0.1061653768209588,0.1061653768209588,0.03439406100682318,3.0,True
2024-10-31,MSFT,-0.0605275766991132,0.0605275766991132,0.016102431879205476,3.0,True
2024-11-06,ORCL,0.0550704784089643,0.0550704784089643,0.017436980296281674,3.0,True
2025-01-06,ASML,0.0758019872308057,0.0758019872308057,0.020926085182571268,3.0,True
2025-01-10,ORCL,-0.0529606437536657,0.0529606437536657,0.015926152588125932,3.0,True
2025-01-17,INTC,0.0925266745177932,0.0925266745177932,0.03074426780510069,3.0,True
2025-01-21,ORCL,0.071663718762976,0.071663718762976,0.022938673306362338,3.0,True
2025-01-27,NVDA,-0.1696816983196026,0.1696816983196026,0.048138069586135604,3.0,True
2025-01-27,ORCL,-0.1379085320397157,0.1379085320397157,0.041829923776778626,3.0,True
2025-02-18,INTC,0.1605931757168339,0.1605931757168339,0.047493844802224516,3.0,True
2025-04-03,AAPL,-0.0924561034645269,0.0924561034645269,0.028138790446618985,3.0,True
2025-04-09,AAPL,0.1532885292613963,0.1532885292613963,0.048487752950120366,3.0,True
2025-04-09,AMD,0.238204800811929,0.238204800811929,0.0685230718777697,3.0,True
2025-04-09,ASML,0.1543410844055277,0.1543410844055277,0.04307294832129246,3.0,True
2025-04-09,META,0.1475562008025954,0.1475562008025954,0.0471479443231564,3.0,True
2025-04-09,MSFT,0.1013368482716201,0.1013368482716201,0.028063876981066372,3.0,True
2025-04-09,NVDA,0.1872274602472727,0.1872274602472727,0.05530106042158821,3.0,True
2025-04-09,ORCL,0.1220080517382022,0.1220080517382022,0.03983028296572359,3.0,True
2025-06-12,ORCL,0.1331216412151665,0.1331216412151665,0.03213765439328809,3.0,True
2025-07-16,ASML,-0.0833150927361902,0.0833150927361902,0.024921441031476515,3.0,True
2025-07-31,META,0.1125271293080303,0.1125271293080303,0.027514411329961543,3.0,True
2025-07-31,MSFT,0.0394747294659816,0.0394747294659816,0.010509334026228962,3.0,True
2025-08-06,AAPL,0.0509067707681243,0.0509067707681243,0.01445249633882875,3.0,True
2025-09-10,ORCL,0.359488195272069,0.359488195272069,0.08468016078064373,3.0,True
2025-09-15,ASML,0.0656493318135698,0.0656493318135698,0.02168252489382725,3.0,True
2025-09-18,INTC,0.2277108499260538,0.2277108499260538,0.05372402455211668,3.0,True
2025-10-06,AMD,0.2370802755755683,0.2370802755755683,0.05457771701317097,3.0,True
2025-10-30,META,-0.1133476846591798,0.1133476846591798,0.029446864147330536,3.0,True
2026-01-02,ASML,0.0877872869183484,0.0877872869183484,0.027736968080162797,3.0,True
2026-01-20,AAPL,-0.0345556368067815,0.0345556368067815,0.00959233444541508,3.0,True
2026-01-22,META,0.0565615648805588,0.0565615648805588,0.018511800260089185,3.0,True
2026-01-29,META,0.1040480222203161,0.1040480222203161,0.030121536393962606,3.0,True
2026-01-29,MSFT,-0.0999314917984048,0.0999314917984048,0.026888200383829008,3.0,True
2026-02-04,AMD,-0.1731444304789823,0.1731444304789823,0.05122627025136632,3.0,True
2026-03-26,META,-0.0795946064905396,0.0795946064905396,0.023405661578207327,3.0,True
